type,title,abstract,date,startTime,endTime,room,
Community activities,AWS Art Alley,"Come experience the power of generative AI in the AWS Art Alley, where AWS Builders have created one-of-a-kind activations for you to enjoy!",12/5/24,8:00,18:00,Venetian | Level 2 | Veronese Foyer,
Community activities,AWS Art Alley,"Come experience the power of generative AI in the AWS Art Alley, where AWS Builders have created one-of-a-kind activations for you to enjoy!",12/4/24,8:00,18:00,Venetian | Level 2 | Veronese Foyer,
Community activities,AWS Art Alley,"Come experience the power of generative AI in the AWS Art Alley, where AWS Builders have created one-of-a-kind activations for you to enjoy!",12/2/24,8:00,20:00,Venetian | Level 2 | Veronese Foyer,
Community activities,AWS Art Alley,"Come experience the power of generative AI in the AWS Art Alley, where AWS Builders have created one-of-a-kind activations for you to enjoy!",12/1/24,10:00,18:00,Venetian | Level 2 | Veronese Foyer,
Community activities,AWS Art Alley,"Come experience the power of generative AI in the AWS Art Alley, where AWS Builders have created one-of-a-kind activations for you to enjoy!",12/3/24,10:30,18:00,Venetian | Level 2 | Veronese Foyer,
Workshop,AWS B2B Data Interchange to accelerate EDI data integrations at scale ,"AWS B2B Data Interchange transforms EDI business-to-business (B2B) data exchanged between you and your trading partners at cloud scale. In this workshop, dive deep into how to use AWS B2B Data Interchange to automate the transformation of your EDI documents to accelerate migration of your B2B data exchange workloads. Explore practical examples of industry-standard ERP, and learn how to reduce operational complexity and optimize cost using inbound and outbound messaging. You must bring your laptop to participate.",12/2/24,15:30,17:30,Mandalay Bay | Lower Level North | Islander I,
Chalk talk,Architecting AWS accounts for scale,"This chalk talk focuses on best practices for managing accounts, including account configuration, domain control, and establishing security boundaries via AWS accounts, AWS Organizations, and AWS Control Tower. Manage your business applications and data more easily and achieve operational excellence, security, and reliability while optimizing your costs.",12/4/24,15:00,16:00,MGM | Level 3 | 302,1
Chalk talk,Amazon Connect: Beginning your contact center migration journey,"This chalk talk addresses the challenges of upgrading legacy telephony, IVR, and chat systems to Amazon Connect. It covers Connect’s value proposition, customer success stories, and various migration strategies. Learn how to align your business needs and manage the technical, operational, and managerial aspects of the transition. The talk introduces AWS support options for contact center transformation, along with a migration readiness checklist. The goal is to accelerate adoption of Amazon Connect while ensuring a smooth migration. By focusing on potential disruption points, organizations can better prepare for a successful transformation journey to Amazon Connect.",12/4/24,8:30,9:30,MGM | Level 3 | 305,1
Chalk talk,AWS WAF: What a BOT it? [REPEAT],"In the ever-evolving threat landscape, web applications face constant attacks from bot traffic and fraudulent activities. These threats can lead to devastating consequences, including data breaches, financial losses, and reputational damage. Explore AWS WAF, including its features for bot control, account takeover prevention, and account creation fraud prevention. This chalk talk offers you the opportunity to actively participate and learn from real-world use cases, exploring how these features can be effectively employed to detect and mitigate bot traffic, credential stuffing, web scraping, and other fraudulent activities.",12/4/24,14:30,15:30,MGM | Level 3 | 305,5
Lightning talk,AWS Cloud Institute: Your source for AI-minded cloud talent,"Struggling with talent gaps and lagging transformation initiatives? AWS Cloud Institute solves your workforce challenges with the next generation of AI-minded cloud talent. Through our expert-led curriculum, build hands-on cloud skills through labs, capstone projects, and AWS Certification prep so you are ready to innovate on day one. Get ready to engage role-ready graduates who can leverage generative AI, drive migration and modernization, and accelerate your future-proofing efforts.",12/3/24,11:30,11:50,Venetian | Hall B | Expo | Theater 3,
Bootcamp,AWS Cloud technical essentials,"In this introductory bootcamp, you learn about AWS products, services, and common solutions. You also get familiar with the fundamentals of identifying AWS services so you can make informed decisions about IT solutions based on your business requirements. Throughout the bootcamp, you gain information on how to build, compare, and apply highly available, fault tolerant, scalable, and cost-effective cloud solutions.",12/2/24,8:00,17:00,Mandalay Bay | Level 2 South | Mandalay Bay Ballroom A,
Innovation Talks,AWS databases: The foundation for data-driven and generative AI apps,"Join G2 Krishnamoorthy, VP of AWS Databases, and Jeff Carter, VP at AWS, as they share our data vision and innovation agenda to help customers modernize their applications to enable generative AI–enabled experiences for innovative user experiences. Learn how AWS databases are making it easier to integrate and manage your data, build highly available and resilient applications for your most mission-critical workloads, and seamlessly take advantage of generative AI advancements. Hear from Matt Swensson of NFL, Dr. Céline Laurent-Winter of BMW, and Sanjay Nair of United Airlines about the solutions they built using AWS databases as their foundation.",12/5/24,11:00,12:00,Venetian | Level 5 | Palazzo Ballroom B,
Gamified learning,AWS escape room: Exam prep for Certified AI Practitioner [REPEAT],"Prepare for the AWS Certified AI Practitioner exam by playing a 3D virtual escape room game. Select an avatar, enter a narrative-driven world, and solve a series of interactive puzzles, exam-style questions, and hands-on labs to leave locked rooms. Compete against others to escape first! You must bring a laptop with a Chrome, Firefox, or Edge browser to participate. Headphones are recommended but optional.",12/2/24,14:30,17:30,Mandalay Bay | Level 2 South | Breakers H,
Gamified learning,AWS escape room: Exam prep for Certified AI Practitioner [REPEAT],"Prepare for the AWS Certified AI Practitioner exam by playing a 3D virtual escape room game. Select an avatar, enter a narrative-driven world, and solve a series of interactive puzzles, exam-style questions, and hands-on labs to leave locked rooms. Compete against others to escape first! You must bring a laptop with a Chrome, Firefox, or Edge browser to participate. Headphones are recommended but optional.",12/5/24,9:00,12:00,Mandalay Bay | Level 2 South | Breakers H,
Chalk talk,Building resilient Amazon ECS applications with chaos engineering [REPEAT],"Achieving true resilience for applications running on Amazon ECS requires actively testing and validating your system's ability to withstand failures and unexpected events. In this chalk talk, explore how you can leverage the principles of chaos engineering and tools like AWS Fault Injection Service to inject controlled failures into your Amazon ECS tasks and services. Learn best practices for designing and running impactful chaos experiments that reveal hidden weaknesses and dependencies, and uncover strategies for using the insights from chaos testing to improve the overall availability, scalability, and recoverability of your Amazon ECS applications.",12/4/24,16:30,17:30,MGM | Level 3 | Premier 309,1
Chalk talk,Building resilient Amazon ECS applications with chaos engineering [REPEAT],"Achieving true resilience for applications running on Amazon ECS requires actively testing and validating your system's ability to withstand failures and unexpected events. In this chalk talk, explore how you can leverage the principles of chaos engineering and tools like AWS Fault Injection Service to inject controlled failures into your Amazon ECS tasks and services. Learn best practices for designing and running impactful chaos experiments that reveal hidden weaknesses and dependencies, and uncover strategies for using the insights from chaos testing to improve the overall availability, scalability, and recoverability of your Amazon ECS applications.",12/4/24,10:30,11:30,MGM | Level 3 | Premier 320,1
Gamified learning,AWS GameDay: Cloud operations (sponsored by Dynatrace),"Join us for an interactive and collaborative learning exercise to develop practical skills for keeping AWS environments up and running. Gain experience in a real AWS account with deployed infrastructure that needs your help. Use and build skills in monitoring, automation, observability, configuration management, and more. Whether you’re a seasoned cloud professional or just starting your journey, this cloud operations AWS GameDay is an opportunity to put your theoretical knowledge to the test and gain invaluable experience. This GameDay also features a quest from Dynatrace. You must bring your laptop to participate. ",12/3/24,13:00,17:00,Mandalay Bay | Level 2 South | Mandalay Bay Ballroom F,
Gamified learning,AWS GameDay: Developer experience (sponsored by New Relic),"Join us for an interactive and collaborative learning exercise to gain practical skills for working with code on AWS. Come blend the skills of developers and operations teams to fully harness the combined power of DevOps. Leverage and build skills in serverless applications, CI/CD pipelines, containers, infrastructure as code, and more. Whether you’re a seasoned cloud professional or just starting your journey, this developer experience AWS GameDay is an opportunity to put your theoretical knowledge to the test and gain invaluable experience. You must bring your laptop to participate. This GameDay also features a quest from New Relic.",12/4/24,8:00,12:00,Mandalay Bay | Level 2 South | Mandalay Bay Ballroom F,
Gamified learning,AWS GameDay: Generative AI (sponsored by Datadog),"Join us for an interactive and collaborative learning exercise to gain practical skills for working with generative AI on AWS. Discover and build with the technology that’s sweeping the industry. Come leverage and build skills in prompt engineering and foundation model evaluation while connecting applications to LLMs, building with agents, and more. Whether you’re a seasoned cloud professional or just starting your journey, this generative AI AWS GameDay is an opportunity to put your theoretical knowledge to the test and gain invaluable experience. This GameDay also features a quest from Datadog. You must bring your laptop to participate.",12/5/24,13:00,17:00,Mandalay Bay | Level 2 South | Mandalay Bay Ballroom F,
Gamified learning,AWS GameDay: NFL digital experience [REPEAT],"Immerse yourself in the gridiron battlefield of the NFL at the interactive GameDay. Dive into the trenches of professional football data as you team up with fellow fans to use cutting-edge technologies on AWS, your tactical arsenal. Harness the power of serverless and generative AI, your unstoppable offensive line, to gain unparalleled insights into the game by exploring the vast playbook of real NFL data. Whether you’re a seasoned football aficionado or a rookie in the league, this GameDay promises an experience where you’ll put your skills to the test, gaining knowledge about AWS and the game you love like a hard-hitting safety studying film.",12/2/24,10:30,12:30,Caesars Forum | Level 1 | Forum 118 Theater,
Gamified learning,AWS GameDay: NFL digital experience [REPEAT],"Immerse yourself in the gridiron battlefield of the NFL at the interactive GameDay. Dive into the trenches of professional football data as you team up with fellow fans to use cutting-edge technologies on AWS, your tactical arsenal. Harness the power of serverless and generative AI, your unstoppable offensive line, to gain unparalleled insights into the game by exploring the vast playbook of real NFL data. Whether you’re a seasoned football aficionado or a rookie in the league, this GameDay promises an experience where you’ll put your skills to the test, gaining knowledge about AWS and the game you love like a hard-hitting safety studying film.",12/2/24,8:00,10:00,Caesars Forum | Level 1 | Forum 118 Theater,
Gamified learning,AWS GameDay: NFL digital experience [REPEAT],"Immerse yourself in the gridiron battlefield of the NFL at the interactive GameDay. Dive into the trenches of professional football data as you team up with fellow fans to use cutting-edge technologies on AWS, your tactical arsenal. Harness the power of serverless and generative AI, your unstoppable offensive line, to gain unparalleled insights into the game by exploring the vast playbook of real NFL data. Whether you’re a seasoned football aficionado or a rookie in the league, this GameDay promises an experience where you’ll put your skills to the test, gaining knowledge about AWS and the game you love like a hard-hitting safety studying film.",12/2/24,13:00,15:00,Caesars Forum | Level 1 | Forum 118 Theater,
Gamified learning,AWS GameDay: Security and networking (sponsored by Fortinet),"Join us for an interactive and collaborative learning exercise to develop practical skills for connecting and protecting infrastructure in AWS environments. Gain experience in a real AWS account with deployed infrastructure that needs your help. Respond to real-world networking and security scenarios involving compromised credentials, asset uplifting to IPv6, data leaks, VPC connectivity issues, instance breaches, and more. Whether you’re a seasoned cloud professional or just starting your journey, this security and networking AWS GameDay is an opportunity to put your theoretical knowledge to the test and gain invaluable experience. This GameDay also features a quest from Fortinet. You must bring your laptop to participate.",12/2/24,8:00,12:00,Mandalay Bay | Level 2 South | Mandalay Bay Ballroom F,
Workshop,AWS GameDay: Winning the DDoS game [REPEAT],"In this workshop, compete in a team-based environment to practice protecting a web application in real time. Your team uses AWS WAF and AWS Shield to mitigate distributed HTTP floods, web exploits, and malicious bots that disrupt the experience of your customers. This workshop offers a risk-free environment where teamwork is paramount as you work together under pressure. Watch a real-time scoreboard as your team works through each level. The most effective team will earn a prize at the end! You must bring your laptop to participate.",12/5/24,12:30,14:30,MGM | Level 3 | Premier 316,
Workshop,AWS GameDay: Winning the DDoS game [REPEAT],"In this workshop, compete in a team-based environment to practice protecting a web application in real time. Your team uses AWS WAF and AWS Shield to mitigate distributed HTTP floods, web exploits, and malicious bots that disrupt the experience of your customers. This workshop offers a risk-free environment where teamwork is paramount as you work together under pressure. Watch a real-time scoreboard as your team works through each level. The most effective team will earn a prize at the end! You must bring your laptop to participate.",12/2/24,15:00,17:00,Wynn | Upper Convention Promenade | Cristal 5,
Workshop,AWS Graviton GameDay: Optimize your Amazon EC2 workload with Graviton [REPEAT],"Ready to learn more about AWS Graviton in an immersive environment? In this team-based gamified learning setting, perform a live migration of your workload to Graviton. You learn how to unlock Graviton’s full price-performance potential and optimize the size of an Amazon EC2 fleet. You have the opportunity to identify CPU-architectural incompatibilities with the Porting Advisor for Graviton tool, test performance, adjust a continuous integration and delivery (CI/CD) pipeline to create ARM64 artifacts, and explore popular Graviton use cases. You must bring your laptop to participate.",12/3/24,11:30,13:30,MGM | Level 3 | Premier 312,
Workshop,AWS Graviton GameDay: Optimize your Amazon EC2 workload with Graviton [REPEAT],"Ready to learn more about AWS Graviton in an immersive environment? In this team-based gamified learning setting, perform a live migration of your workload to Graviton. You learn how to unlock Graviton’s full price-performance potential and optimize the size of an Amazon EC2 fleet. You have the opportunity to identify CPU-architectural incompatibilities with the Porting Advisor for Graviton tool, test performance, adjust a continuous integration and delivery (CI/CD) pipeline to create ARM64 artifacts, and explore popular Graviton use cases. You must bring your laptop to participate.",12/5/24,15:00,17:00,MGM | Level 1 | Grand 117,
Chalk talk,Effectively model costs for your serverless applications [REPEAT],"In this chalk talk, gain insights into modeling the cost of serverless applications on AWS. Learn how traditional approaches based on CPU, memory, storage, and networking costs don’t directly apply. Discover how to holistically model costs for distributed serverless architectures by considering request loads, payload sizes, and service pricing. Walk through an example serverless application architecture, and leave with practical knowledge for accurately estimating costs tailored to modern, serverless application designs.",12/4/24,13:30,14:30,MGM | Level 3 | Premier 320,5
Workshop,AWS IAM Identity Center: Secure access to generative AI applications [REPEAT],"Integrating an identity-aware generative AI-powered assistant into a custom web experience for your workforce has never been easier. In this workshop, learn how to embed an identity-aware chat experience into a custom application, train it on a sample dataset, and connect it to an external workforce identity provider using native integration between Amazon Q Business and AWS IAM Identity Center. Throughout the process, learn tips on managing end-user session duration, enhancing security, and simplifying the overall developer experience. You must bring your laptop to participate.",12/4/24,13:00,15:00,MGM | Level 1 | Grand 115,
Workshop,AWS IAM Identity Center: Secure access to generative AI applications [REPEAT],"Integrating an identity-aware generative AI-powered assistant into a custom web experience for your workforce has never been easier. In this workshop, learn how to embed an identity-aware chat experience into a custom application, train it on a sample dataset, and connect it to an external workforce identity provider using native integration between Amazon Q Business and AWS IAM Identity Center. Throughout the process, learn tips on managing end-user session duration, enhancing security, and simplifying the overall developer experience. You must bring your laptop to participate.",12/5/24,15:00,17:00,Caesars Forum | Level 1 | Summit 228,
Builders' Fair,AWS IoT race track revolution: Fuel the future with IoT smart cars [REPEAT],"Experience the thrill of racing with our IoT-powered racetrack! Control smart race cars using AWS IoT technology. Monitor real-time telemetry data, manage pit stops, and optimize race strategy. Use AWS IoT Core to communicate with cars and track sensors, while edge AI models help predict optimal racing lines. Interact with the physical track using an IoT interface, making split-second decisions to boost your car's performance. Compete against other attendees in exciting races, balancing speed with energy efficiency to claim victory on this futuristic circuit.",12/2/24,16:00,19:00,Venetian | Level 2 | Hall B | Expo | Booth #2034 | Project 3,
Builders' Fair,AWS IoT race track revolution: Fuel the future with IoT smart cars [REPEAT],"Experience the thrill of racing with our IoT-powered racetrack! Control smart race cars using AWS IoT technology. Monitor real-time telemetry data, manage pit stops, and optimize race strategy. Use AWS IoT Core to communicate with cars and track sensors, while edge AI models help predict optimal racing lines. Interact with the physical track using an IoT interface, making split-second decisions to boost your car's performance. Compete against other attendees in exciting races, balancing speed with energy efficiency to claim victory on this futuristic circuit.",12/3/24,10:00,18:00,Venetian | Level 2 | Hall B | Expo | Booth #2034 | Project 3,
Gamified learning,AWS Jam: DevOps and modernization (sponsored by Palo Alto Networks and LaunchDarkly),"Are you looking to enhance your AWS DevOps and modernization skills? Immerse yourself in AWS DevOps challenges and collaborate with fellow enthusiasts. Activities are structured to accommodate AWS users of all skill levels, and you'll have a chance to win SWAG and prizes. Ask questions of the subject matter expert leading the study session, and enhance your DevOps knowledge with guided exercises. This Jam also features Jam challenges from our sponsors, Palo Alto Networks and LaunchDarkly. All you need to bring is your desire to learn and a laptop.",12/4/24,14:00,17:00,Mandalay Bay | Level 2 South | Mandalay Bay Ballroom F,
Gamified learning,AWS Jam: Generative AI (sponsored by NVIDIA),"Are you curious about the cutting-edge world of generative AI? Learn about the power of generative AI through AWS Jam challenges designed to spark fresh ideas by presenting real-world scenarios. Join us for the Jam session to gain hands-on experience with AWS services and offerings from AWS partners. The activities are structured to cater to AWS users of all skill levels, and you have a chance to win swag and prizes. AWS experts, along with guided exercises, are available to help enhance your generative AI knowledge.  This Jam also features Jam challenges from NVIDIA. All you need to bring is your desire to learn and a laptop.",12/5/24,8:00,12:00,Mandalay Bay | Level 2 South | Mandalay Bay Ballroom F,
Gamified learning,AWS Jam: Security (sponsored by Palo Alto Networks),"Are you concerned about protecting sensitive data in the cloud? Are you ready to put your AWS security skills to the test and learn in a gamified, experiential, team-based competition? Join us for this Security Jam, and gain hands-on experience with AWS and AWS Partners services and offerings via simulated real-world scenarios. Activities are structured to accommodate AWS users of all skill levels, and you'll have a chance to win SWAG and prizes. Ask questions of the subject matter expert leading the study session, and enhance your security knowledge with guided exercises. This Jam also features Jam challenges from Palo Alto Networks. All you need to bring is your desire to learn and a laptop.",12/3/24,9:00,12:00,Mandalay Bay | Level 2 South | Mandalay Bay Ballroom F,
Lightning talk,AWS journey: Customer’s path to hybrid cloud excellence (sponsored by SolarWinds),"During this lightning talk, SolarWinds shares why one of their customers migrated to the cloud and why they chose AWS. Learn the specific workloads and applications they are running on AWS and how observability is crucial in managing and optimizing their hybrid environment. Additionally, discover the benefits the customer achieved by moving to AWS, and learn how an observability approach supports their operational goals. Gain insights into their cloud journey and the strategic advantages of using AWS and observability for enhanced performance and reliability. This presentation is brought to you by SolarWinds, an AWS Partner.",12/3/24,15:00,15:20,Venetian | Hall B | Expo | Theater 3,
Chalk talk,Thinking serverless [REPEAT],"Serverless is more than just AWS Lambda. It’s about learning to use a range of different services and techniques to solve a technical problem. How do you approach building a solution with a serverless mindset? In this chalk talk, learn how to tackle a business problem from a customer perspective by breaking down needs into serverless building blocks that work well together. Discover the power of distributed systems design and event-based architecture, and learn how easy it can be to turn a flowchart into a model for a serverless application.",12/4/24,15:00,16:00,MGM | Level 3 | Premier 320,1
Chalk talk,Understanding AWS Lambda event source mapping [REPEAT],"In this chalk talk, gain a deep understanding of how AWS Lambda uses event source mapping to retrieve items from streams and queues. Explore the inner workings of event source mapping and how its behavior differs across seven different streaming and queuing services, such as Amazon Kinesis and Amazon SQS. Leave this talk with practical insights into optimizing your serverless data pipelines by making the most of event source mapping’s capabilities and service-specific nuances.",12/4/24,12:00,13:00,MGM | Level 3 | Premier 320,1
Workshop,"AWS Marketplace sellers: Publish, update, and manage your product","In this workshop, choose between hands-on labs for new sellers just starting or labs for experienced sellers looking to optimize their operations in AWS Marketplace. Sellers just starting out can explore publishing virtual machine, container, or SaaS-based products. Established sellers can learn about API-enabled automations for their delivery pipelines, private offers, and other integrations with AWS Marketplace. The part of the workshop intended for established sellers requires a registered seller account with an existing published product. For new or interested sellers, an active AWS account is required. This workshop is intended for AWS Partners. You must bring your laptop to participate.",12/6/24,10:30,12:30,Caesars Forum | Level 1 | Alliance 307,
Workshop,"AWS Marketplace: Deploy, govern & analyze spend of third-party software","AWS Marketplace makes it easy to find, subscribe, deploy, and manage third-party software, data, and services. In this workshop, choose between hands-on labs for buyers just starting to learn about AWS Marketplace or labs for experienced buyers looking to expand their knowledge. New buyers can explore how to buy and deploy different types of third-party products in AWS Marketplace. Experienced buyers can learn to govern purchases by setting up a private marketplace of approved products, sharing licenses, analyzing spend, and allocating costs. This session requires an active AWS account with admin rights. You must bring your laptop to participate.",12/2/24,12:00,14:00,Wynn | Upper Convention Promenade | Cristal 5,
Community activities,AWS Merch Store,"Visit the AWS Merch Store to purchase brand-new, never-before seen AWS Merch and experience Just Walk Out and Amazon One technology firsthand! ",12/3/24,8:00,18:00,Venetian | Level 1 | Expo Lower Foyer,
Community activities,AWS Merch Store,"Visit the AWS Merch Store to purchase brand-new, never-before seen AWS Merch and experience Just Walk Out and Amazon One technology firsthand! ",12/4/24,8:00,18:00,Venetian | Level 1 | Expo Lower Foyer,
Community activities,AWS Merch Store,"Visit the AWS Merch Store to purchase brand-new, never-before-seen AWS Merch and experience Just Walk Out and Amazon One technology firsthand! ",12/1/24,10:00,18:00,Venetian | Level 1 | Expo Lower Foyer,
Community activities,AWS Merch Store,"Visit the AWS Merch Store to purchase brand-new, never-before-seen AWS Merch and experience Just Walk Out and Amazon One technology firsthand! ",12/5/24,8:00,18:00,Venetian | Level 1 | Expo Lower Foyer,
Community activities,AWS Merch Store,"Visit the AWS Merch Store to purchase brand-new, never-before-seen AWS Merch and experience Just Walk Out and Amazon One technology firsthand! ",12/6/24,8:00,12:00,Venetian | Level 1 | Expo Lower Foyer,
Community activities,AWS Merch Store,"Visit the AWS Merch Store to purchase brand-new, never-before-seen AWS Merch and experience Just Walk Out and Amazon One technology firsthand! ",12/2/24,8:00,19:30,Venetian | Level 1 | Expo Lower Foyer,
Lightning talk,AWS Partner solutions: AI-based insight transforms radiology workflows,"Discover how AWS is harnessing the transformative power of generative AI to revolutionize how customers find AWS Partner solutions for their unique needs. By converging the latest generative AI advancements with deep industry expertise, AWS is enabling hyper-personalized recommendations, accelerating solution discovery, and empowering customers to make more informed decisions. This lightning talk is intended for AWS Partners.",12/5/24,14:30,14:50,Venetian | Hall B | Expo | Theater 1,
Lightning talk,AWS Partners accelerating industry modernization through LoB,"Explore AWS Partner Solutions that are accelerating innovation for line of business (LoB) with real-world use cases from various industries, including automotive, financial services, and healthcare. This lightning talk covers adoption of generative AI, data lakes, and security. Discover best practices for identifying, evaluating, implementing, and managing partner solutions that align with your LoB objectives. Learn how AWS customers address specific LoB challenges and unlock new possibilities for driving innovation within their organizations with the support of AWS Partners. This talk is intended for AWS Partners.",12/5/24,15:00,15:20,Venetian | Hall B | Expo | Theater 1,
Community activities,AWS re:Invent 5K Race,Bring your workout gear and get ready to join the fun. Embrace the challenge alongside fellow attendees to cross the finish line of the annual re:Invent 5K race. Participants of all skill levels are welcome and there is no fee to participate. The course begins and ends at the Michelob ULTRA Arena at Mandalay Bay and follows Frank Sinatra Drive. Visit the Community Events desk in the Venetian Sands Foyer to register and pick up your bib and packet. ,12/4/24,6:00,20:00,Mandalay Bay | Level 1 | North | Michelob ULTRA Events Arena,
Community activities,AWS re:Invent Giant Slide (sponsored by Datadog),Back for another exciting year! Ride the slide in The Venetian foyer for a fun thrill. This community activity is sponsored by Datadog.,12/5/24,11:00,20:00,Venetian | Level 2 | Venetian Foyer,
Community activities,AWS Sports Forum,"The AWS Sports Forum is the ultimate destination to elevate your game. Join us and witness the future unfold. The AWS Sports Forum not only hosts activities from the NFL, NHL, and Formula 1 but also showcases relevant customer stories that appeal to a wide range of conference attendees including casual fans, fitness enthusiasts, and gamers. ",12/1/24,10:00,18:00,Caesars Forum | Level 1 | Forum 118,
Community activities,AWS Sports Forum,"With AWS leading the charge in sports innovation, the AWS Sports Forum is the ultimate destination to elevate your game. Join us and witness the future unfold. The AWS Sports Forum will not only host activations from our strategic sports partners like the NFL, NHL, and Formula 1, but also showcase relevant customer stories that appeal to a wide range of attendees including casual fans, fitness enthusiasts, and gamers. ",12/5/24,10:00,18:00,Caesars Forum | Level 1 | Forum 118,
Community activities,AWS Sports Forum,"With AWS leading the charge in sports innovation, the AWS Sports Forum is the ultimate destination to elevate your game. Join us and witness the future unfold. The AWS Sports Forum will not only host activations from our strategic sports partners like the NFL, NHL, and Formula 1, but also showcase relevant customer stories that appeal to a wide range of attendees including casual fans, fitness enthusiasts, and gamers. ",12/4/24,10:00,18:00,Caesars Forum | Level 1 | Forum 118,
Community activities,AWS Sports Forum,"With AWS leading the charge in sports innovation, the AWS Sports Forum is the ultimate destination to elevate your game. Join us and witness the future unfold. The AWS Sports Forum will not only host activations from our strategic sports partners like the NFL, NHL, and Formula 1, but also showcase relevant customer stories that appeal to a wide range of attendees including casual fans, fitness enthusiasts, and gamers. ",12/3/24,10:00,18:00,Caesars Forum | Level 1 | Forum 118,
Community activities,AWS Sports Forum,"With AWS leading the charge in sports innovation, the AWS Sports Forum is the ultimate destination to elevate your game. Join us and witness the future unfold. The AWS Sports Forum will not only host activations from our strategic sports partners like the NFL, NHL, and Formula 1, but also showcase relevant customer stories that appeal to a wide range of attendees including casual fans, fitness enthusiasts, and gamers. ",12/2/24,10:00,18:00,Caesars Forum | Level 1 | Forum 118,
Innovation Talks,AWS storage services: The foundation for data-driven innovation,"AWS storage services serve as the cornerstone for data-driven innovation, providing the essential building blocks for modern enterprises. In this talk, explore how the fundamental attributes of AWS storage services—high durability, availability, scalability, and price performance—empower organizations to excel in virtually any workload scenario. From powering cutting-edge AI/ML initiatives to enabling real-time analytics and supporting business-critical applications, AWS storage services deliver the agility and resilience needed in today’s fast-paced digital landscape. Discover how businesses use these capabilities to accelerate insights, drive business growth, and fuel transformative innovations across diverse industries and use cases.",12/3/24,13:00,14:00,Venetian | Level 5 | Palazzo Ballroom B,
Community activities,AWS Sustainability Showcase,"Innovation is key to achieving sustainability goals. Technology drives sustainable transformation and addresses challenges like decarbonization and water conservation. AWS enables customers to build sustainability solutions ranging from carbon tracking to energy conservation and waste reduction using AWS services to ingest, analyze, and manage sustainability data. AWS offers the broadest and deepest set of capabilities in AI/ML, IoT, data analytics, and computing to reach your organization's sustainability goals. Visit the Sustainability Showcase to learn more about the tools available to organizations of all sizes and sectors to build and implement solutions that meet your sustainability goals.  ",12/4/24,9:00,17:00,Caesars Forum | Level 1 | Forum 115 Foyer,
Community activities,AWS Sustainability Showcase,"Innovation is key to achieving sustainability goals. Technology drives sustainable transformation and addresses challenges like decarbonization and water conservation. AWS enables customers to build sustainability solutions ranging from carbon tracking to energy conservation and waste reduction using AWS services to ingest, analyze, and manage sustainability data. AWS offers the broadest and deepest set of capabilities in AI/ML, IoT, data analytics, and computing to reach your organization's sustainability goals. Visit the Sustainability Showcase to learn more about the tools available to organizations of all sizes and sectors to build and implement solutions that meet your sustainability goals.  ",12/2/24,9:00,17:00,Caesars Forum | Level 1 | Forum 115 Foyer,
Community activities,AWS Sustainability Showcase,"Innovation is key to achieving sustainability goals. Technology drives sustainable transformation and addresses challenges like decarbonization and water conservation. AWS enables customers to build sustainability solutions ranging from carbon tracking to energy conservation and waste reduction using AWS services to ingest, analyze, and manage sustainability data. AWS offers the broadest and deepest set of capabilities in AI/ML, IoT, data analytics, and computing to reach your organization's sustainability goals. Visit the Sustainability Showcase to learn more about the tools available to organizations of all sizes and sectors to build and implement solutions that meet your sustainability goals.  ",12/5/24,9:00,16:00,Caesars Forum | Level 1 | Forum 115 Foyer,
Community activities,AWS Sustainability Showcase,"Innovation is key to achieving sustainability goals. Technology drives sustainable transformation and addresses challenges like decarbonization and water conservation. AWS enables customers to build sustainability solutions ranging from carbon tracking to energy conservation and waste reduction using AWS services to ingest, analyze, and manage sustainability data. AWS offers the broadest and deepest set of capabilities in AI/ML, IoT, data analytics, and computing to reach your organization's sustainability goals. Visit the Sustainability Showcase to learn more about the tools available to organizations of all sizes and sectors to build and implement solutions that meet your sustainability goals.  ",12/4/24,9:00,17:00,Caesars Forum | Level 1 | Forum 115 Foyer,
Community activities,AWS Sustainability Showcase,"Innovation is key to achieving sustainability goals. Technology drives sustainable transformation and addresses challenges like decarbonization and water conservation. AWS enables customers to build sustainability solutions ranging from carbon tracking to energy conservation and waste reduction using AWS services to ingest, analyze, and manage sustainability data. AWS offers the broadest and deepest set of capabilities in AI/ML, IoT, data analytics, and computing to reach your organization's sustainability goals. Visit the Sustainability Showcase to learn more about the tools available to organizations of all sizes and sectors to build and implement solutions that meet your sustainability goals.  ",12/2/24,9:00,17:00,Caesars Forum | Level 1 | Forum 115 Foyer,
Community activities,AWS Village,"Looking for all things AWS and specific advice on how to get started? Take a deep dive into AWS products, services, and solutions with leading AWS experts who work with new customers day in and day out. Test your basketball skills, play with products, and interact with the latest generative AI solutions in just a few of the exciting demos the AWS Village has to offer.",12/2/24,16:00,19:00,Venetian | Level 2 | Hall B | Expo | AWS Village,
Community activities,AWS Village,"Looking for all things AWS and specific advice on how to get started? Take a deep dive into AWS products, services, and solutions with leading AWS experts who work with new customers day in and day out. Test your basketball skills, play with products, and interact with the latest generative AI solutions in just a few of the exciting demos the AWS Village has to offer.",12/5/24,10:00,16:00,Venetian | Level 2 | Hall B | Expo | AWS Village,
